iter	Passed	Remaining
417	2528	3520
418	2531	3510
419	2535	3501
420	2539	3492
421	2542	3482
422	2545	3472
423	2548	3462
424	2552	3454
425	2556	3444
426	2559	3434
427	2563	3425
428	2566	3415
429	2570	3406
430	2573	3397
431	2577	3389
432	2581	3380
433	2585	3372
434	2589	3363
435	2593	3355
436	2597	3346
437	2601	3338
438	2605	3330
439	2609	3320
440	2612	3311
441	2616	3303
442	2620	3295
443	2624	3285
444	2627	3276
445	2630	3267
446	2634	3258
447	2638	3251
448	2642	3243
449	2646	3234
450	2651	3228
451	2656	3220
452	2660	3211
453	2664	3203
454	2668	3196
455	2673	3189
456	2677	3181
457	2682	3174
458	2687	3167
459	2693	3161
460	2699	3156
461	2704	3149
462	2708	3141
463	2713	3134
464	2717	3126
465	2721	3118
466	2726	3111
467	2730	3104
468	2734	3096
469	2738	3087
470	2743	3081
471	2747	3073
472	2751	3065
473	2755	3057
474	2759	3050
475	2763	3042
476	2767	3034
477	2771	3027
478	2776	3019
479	2780	3011
480	2783	3003
481	2787	2996
482	2792	2988
483	2795	2980
484	2799	2972
485	2803	2964
486	2807	2957
487	2812	2950
488	2815	2942
489	2819	2934
490	2823	2927
491	2827	2919
492	2831	2911
493	2835	2904
494	2840	2897
495	2844	2890
496	2848	2883
497	2852	2875
498	2856	2868
499	2860	2860
500	2865	2854
501	2870	2847
502	2875	2841
503	2879	2833
504	2883	2826
505	2888	2819
506	2892	2812
507	2896	2805
508	2900	2798
509	2905	2791
510	2910	2785
511	2914	2777
512	2919	2771
513	2923	2764
514	2928	2757
515	2933	2751
516	2938	2744
517	2942	2737
518	2946	2730
519	2953	2726
520	2958	2720
521	2964	2714
522	2968	2707
523	2972	2700
524	2977	2693
525	2984	2689
526	2988	2682
527	2993	2675
528	2998	2669
529	3003	2663
530	3008	2656
531	3014	2651
532	3022	2648
533	3030	2644
534	3039	2641
535	3046	2637
536	3052	2632
537	3060	2628
538	3066	2622
539	3075	2619
540	3082	2615
541	3088	2610
542	3098	2607
543	3104	2601
544	3110	2597
545	3116	2591
546	3121	2584
547	3126	2579
548	3131	2572
549	3137	2566
550	3142	2561
551	3148	2555
552	3153	2549
553	3159	2543
554	3164	2537
555	3170	2531
556	3176	2526
557	3181	2520
558	3187	2514
559	3197	2511
560	3222	2521
561	3229	2516
562	3234	2510
563	3241	2505
564	3247	2500
565	3254	2495
566	3260	2490
567	3266	2484
568	3272	2479
569	3278	2473
570	3284	2467
571	3292	2463
572	3297	2457
573	3303	2451
574	3308	2445
575	3313	2438
576	3319	2433
577	3324	2427
578	3329	2421
579	3336	2416
580	3342	2410
581	3348	2405
582	3353	2398
583	3358	2392
584	3363	2386
585	3368	2379
586	3372	2373
587	3379	2367
588	3384	2362
589	3389	2355
590	3395	2349
591	3400	2343
592	3405	2337
593	3413	2332
594	3417	2326
595	3422	2319
596	3430	2315
597	3435	2309
598	3439	2302
599	3445	2296
600	3451	2291
601	3458	2286
602	3464	2280
603	3470	2275
604	3477	2270
605	3484	2265
606	3490	2259
607	3495	2253
608	3501	2248
609	3507	2242
610	3512	2236
611	3518	2230
612	3525	2225
613	3530	2219
614	3534	2212
615	3540	2207
616	3545	2200
617	3551	2195
618	3556	2189
619	3561	2183
620	3566	2176
621	3571	2170
622	3576	2164
623	3580	2157
624	3585	2151
625	3589	2144
626	3593	2137
627	3597	2130
628	3602	2125
629	3607	2118
630	3611	2111
631	3615	2105
632	3621	2099
633	3625	2093
634	3630	2086
635	3635	2080
636	3639	2074
637	3643	2067
638	3648	2061
639	3652	2054
640	3657	2048
641	3663	2043
642	3668	2036
643	3673	2030
644	3679	2025
645	3684	2019
646	3689	2012
647	3693	2006
648	3699	2000
649	3704	1994
650	3708	1988
651	3714	1982
652	3719	1976
653	3724	1970
654	3730	1964
655	3735	1958
656	3741	1953
657	3746	1947
658	3751	1941
659	3755	1934
660	3760	1928
661	3764	1922
662	3769	1915
663	3773	1909
664	3778	1903
665	3782	1897
666	3787	1890
667	3793	1885
668	3799	1879
669	3804	1873
670	3810	1868
671	3814	1861
672	3818	1855
673	3822	1849
674	3827	1843
675	3832	1837
676	3837	1830
677	3842	1824
678	3847	1818
679	3851	1812
680	3857	1806
681	3861	1800
682	3866	1794
683	3872	1789
684	3877	1782
685	3881	1776
686	3887	1771
687	3892	1765
688	3897	1759
689	3902	1753
690	3907	1747
691	3912	1741
692	3917	1735
693	3921	1729
694	3925	1722
695	3930	1716
696	3935	1710
697	3939	1704
698	3944	1698
699	3948	1692
700	3953	1686
701	3956	1679
702	3960	1673
703	3964	1666
704	3969	1660
705	3973	1654
706	3977	1648
707	3981	1642
708	3985	1635
709	3990	1629
710	3994	1623
711	3999	1617
712	4003	1611
713	4007	1605
714	4011	1598
715	4015	1592
716	4019	1586
717	4023	1580
718	4028	1574
719	4034	1569
720	4039	1563
721	4043	1556
722	4048	1551
723	4052	1544
724	4056	1538
725	4061	1532
726	4065	1526
727	4069	1520
728	4073	1514
729	4078	1508
730	4082	1502
731	4086	1496
732	4090	1490
733	4096	1484
734	4101	1478
735	4105	1472
736	4110	1466
737	4114	1460
738	4118	1454
739	4122	1448
740	4127	1442
741	4131	1436
742	4135	1430
743	4140	1424
744	4144	1418
745	4148	1412
746	4153	1406
747	4158	1400
748	4162	1394
749	4167	1389
750	4171	1383
751	4175	1377
752	4180	1371
753	4184	1365
754	4189	1359
755	4193	1353
756	4197	1347
757	4202	1341
758	4206	1335
759	4210	1329
760	4214	1323
761	4219	1317
762	4223	1311
763	4227	1305
764	4231	1299
765	4236	1294
766	4241	1288
767	4244	1282
768	4248	1276
769	4253	1270
770	4257	1264
771	4261	1258
772	4266	1252
773	4271	1247
774	4275	1241
775	4279	1235
776	4284	1229
777	4290	1224
778	4295	1218
779	4301	1213
780	4306	1207
781	4312	1202
782	4318	1196
783	4323	1191
784	4327	1185
785	4333	1179
786	4337	1174
787	4342	1168
788	4348	1162
789	4352	1157
790	4358	1151
791	4363	1146
792	4367	1140
793	4372	1134
794	4377	1128
795	4382	1123
796	4386	1117
797	4392	1111
798	4396	1106
799	4401	1100
800	4405	1094
801	4410	1088
802	4414	1083
803	4418	1077
804	4423	1071
805	4429	1066
806	4434	1060
807	4438	1054
808	4443	1049
809	4447	1043
810	4452	1037
811	4458	1032
812	4462	1026
813	4466	1020
814	4470	1014
815	4475	1009
816	4481	1003
817	4487	998
818	4493	993
819	4498	987
820	4504	982
821	4509	976
822	4513	970
823	4517	964
824	4522	959
825	4526	953
826	4530	947
827	4536	942
828	4541	936
829	4546	931
830	4551	925
831	4556	920
832	4561	914
833	4567	909
834	4572	903
835	4579	898
836	4584	892
837	4590	887
838	4596	882
839	4603	876
840	4607	871
841	4612	865
842	4617	859
843	4621	854
844	4626	848
845	4632	843
846	4637	837
847	4642	832
848	4647	826
849	4653	821
850	4658	815
851	4663	810
852	4668	804
853	4673	799
854	4679	793
855	4684	788
856	4689	782
857	4694	776
858	4699	771
859	4704	765
860	4709	760
861	4715	754
862	4721	749
863	4726	744
864	4732	738
865	4736	732
866	4741	727
867	4747	721
868	4752	716
869	4757	710
870	4762	705
871	4767	699
872	4771	694
873	4777	688
874	4782	683
875	4787	677
876	4793	672
877	4797	666
878	4801	661
879	4807	655
880	4812	650
881	4817	644
882	4822	638
883	4826	633
884	4830	627
885	4834	622
886	4840	616
887	4845	611
888	4849	605
