iter	Logloss
0	0.6810288186
1	0.6697951226
2	0.6585178763
3	0.6473014631
4	0.6382501262
5	0.6289838998
6	0.6198920621
7	0.6117236642
8	0.6033527752
9	0.5952448374
10	0.5883392219
11	0.581703583
12	0.5763078401
13	0.5700133161
14	0.5648155907
15	0.5592225786
16	0.5534676503
17	0.54752128
18	0.5419684861
19	0.5375386174
20	0.5326941034
21	0.5286153433
22	0.524637187
23	0.5207903971
24	0.5168732854
25	0.5137924282
26	0.5107408556
27	0.5071415578
28	0.5048057642
29	0.5017770503
30	0.4986416988
31	0.4961688397
32	0.493545436
33	0.4910852458
34	0.4883884786
35	0.4854614437
36	0.4833270043
37	0.4811427255
38	0.4789924739
39	0.4765225482
40	0.4750096064
41	0.4729871161
42	0.4709417835
43	0.4693773223
44	0.4680873405
45	0.4664487699
46	0.4657920778
47	0.4642991652
48	0.4626417565
49	0.4612640961
50	0.4600031756
51	0.4587772321
52	0.4575596214
53	0.4562790016
54	0.454987543
55	0.4540926208
56	0.4530595469
57	0.4516204427
58	0.4505904064
59	0.4493681628
60	0.4484192711
61	0.4476180853
62	0.4464585433
63	0.445493778
64	0.4444901091
65	0.4435210048
66	0.4428261385
67	0.4419176026
68	0.4412778503
69	0.4408279973
70	0.4400164172
71	0.4391672564
72	0.4383455739
73	0.4375912544
74	0.4369181512
75	0.4363421354
76	0.4356364056
77	0.4349046627
78	0.434454697
79	0.433893268
80	0.4331790886
81	0.4326187491
82	0.4320133269
83	0.4314832218
84	0.4311798158
85	0.4306639584
86	0.4302439147
87	0.4297366158
88	0.4293843002
89	0.4289990157
90	0.4286699207
91	0.4279635047
92	0.427603599
93	0.4271561026
94	0.4267773917
95	0.4264220645
96	0.4260581534
97	0.4257611746
98	0.4253700241
99	0.4248310467
100	0.4243812855
101	0.4239043621
102	0.4234379147
103	0.4230397979
104	0.4227695263
105	0.4224448883
106	0.4221450837
107	0.4218906847
108	0.4215359613
109	0.4212521589
110	0.420923217
111	0.4205944147
112	0.4203862812
113	0.4201474833
114	0.419920476
115	0.419599859
116	0.4194260171
117	0.4192087188
118	0.4189294836
119	0.4186284701
120	0.4184382194
121	0.4181648823
122	0.418039808
123	0.4177980525
124	0.417701967
125	0.4175427196
126	0.4173804903
127	0.4172287748
128	0.4170521313
129	0.4169061202
130	0.4166497227
131	0.4165158866
132	0.4163110244
133	0.416058005
134	0.4159391826
135	0.4158043274
136	0.4156419163
137	0.4154293038
138	0.4152106029
139	0.4151020756
140	0.4148717696
141	0.4146715776
142	0.4145495476
143	0.4143502575
144	0.414151315
145	0.4139699503
146	0.4137842581
147	0.4136086023
148	0.4134630728
149	0.4133097888
150	0.4131652388
151	0.4130377043
152	0.4128300935
153	0.4127399821
154	0.4125248622
155	0.4123965143
156	0.4122675405
157	0.4121254761
158	0.4119996087
159	0.4118574713
160	0.4117294054
161	0.4115512538
162	0.411494097
163	0.4113383703
164	0.4112056857
165	0.4111375052
166	0.4110222678
167	0.4109393769
168	0.4107516003
169	0.4106887399
170	0.4105488425
171	0.4104789233
172	0.4103461843
173	0.4102453554
174	0.4101126544
175	0.4100051433
176	0.4098580316
177	0.4097386747
178	0.4096448673
179	0.4095295747
180	0.4094257564
181	0.4093496318
182	0.4093066655
183	0.4092058698
184	0.4091267323
185	0.4090590387
186	0.4089858098
187	0.4088477457
188	0.4087405837
189	0.4086554088
190	0.408573658
191	0.4084784633
192	0.4083770455
193	0.4082876659
194	0.4082241329
195	0.4081546649
196	0.4080960984
197	0.4080460508
198	0.4079935981
199	0.4079217634
200	0.4078848619
201	0.407722768
202	0.4076280807
203	0.4074811136
204	0.4073880348
205	0.4072884942
206	0.4072072467
207	0.4071535115
208	0.4070736592
209	0.407006657
210	0.4069177901
211	0.4068431034
212	0.4067620074
213	0.4066941156
214	0.4066229948
215	0.4065742989
216	0.40654666
217	0.4064951711
218	0.4064926578
219	0.4064100363
220	0.4063532081
221	0.4062653611
222	0.4061817933
223	0.4061243401
224	0.4060829164
225	0.406018649
226	0.4059585612
227	0.4059177375
228	0.4058531202
229	0.4057802357
230	0.4057030658
231	0.405632457
232	0.40559464
233	0.4055548446
234	0.405493753
235	0.4054185523
236	0.4053369038
237	0.4052859285
238	0.4052070662
239	0.4051422473
240	0.4050649478
241	0.405024961
242	0.4049809355
243	0.4049106716
244	0.4048588015
245	0.4048102507
246	0.4047739224
247	0.4047479063
248	0.4046591227
249	0.404610556
250	0.4044992117
251	0.4044972554
252	0.4044508468
253	0.4044316755
254	0.4043189911
255	0.4042695015
256	0.4042222214
257	0.4041320407
258	0.4040677581
259	0.4039813915
260	0.4039408678
261	0.4039075372
262	0.4038686855
263	0.4038342406
264	0.4037874082
265	0.4037220808
266	0.4036833722
267	0.4036492431
268	0.403570134
269	0.4035042073
270	0.403458094
271	0.4034249218
272	0.403365317
273	0.4032814275
274	0.4031666526
275	0.4031112525
276	0.4030694903
277	0.4030219177
278	0.4029891999
279	0.4028954074
280	0.4028125415
281	0.4027675053
282	0.4027642124
283	0.4027022668
284	0.4026221648
285	0.4025844458
286	0.4025254199
287	0.4024780154
288	0.4024497954
289	0.4024049741
290	0.4023427638
291	0.4022730796
292	0.4021907235
293	0.4021890847
294	0.4021460736
295	0.402063044
296	0.4020206619
297	0.4019922961
298	0.4019492299
299	0.4018714864
300	0.4018360942
301	0.401785906
302	0.4017435429
303	0.4017070521
304	0.4016567011
305	0.4016123659
306	0.4015736162
307	0.401513642
308	0.4015134414
309	0.4014830759
310	0.4014272589
311	0.4013056421
312	0.4012338253
313	0.4011430914
314	0.4010755774
315	0.4010618341
316	0.4010107302
317	0.4009471875
318	0.4009045977
319	0.4008601612
320	0.400776159
321	0.4007675611
322	0.4007479879
323	0.4006911507
324	0.4006696249
325	0.4006314657
326	0.4005541188
327	0.400553528
328	0.4004895377
329	0.40047233
330	0.4004325656
331	0.4003471697
332	0.4003120157
333	0.4002557228
334	0.4001854034
335	0.4001278878
336	0.4000548886
337	0.3999871495
338	0.399895373
339	0.3998679469
340	0.3998591137
341	0.3997929962
342	0.3997361033
343	0.3996388086
344	0.3995500319
345	0.3994635476
346	0.3994435025
347	0.3994112996
348	0.3993667308
349	0.3993366549
350	0.3992810818
351	0.3992353823
352	0.3992240411
353	0.3991789927
354	0.3991289689
355	0.3990589751
356	0.399010312
357	0.398981875
358	0.3989055623
359	0.3988814891
360	0.398836485
361	0.3988066331
362	0.3987392616
363	0.3986764196
364	0.3986627125
365	0.3986126417
366	0.3985660643
367	0.39854183
368	0.3984892208
369	0.3984620926
370	0.3983684966
371	0.3983197482
372	0.398277423
373	0.3982322997
374	0.3981491452
375	0.3981112803
376	0.3980678247
377	0.398018986
378	0.3979968344
379	0.3979427831
380	0.3978515385
381	0.3978103195
382	0.3977816915
383	0.3977539406
384	0.3977158909
385	0.3976730779
386	0.3976114993
387	0.3975646391
388	0.3975180538
389	0.3974720346
390	0.3974542827
391	0.3974274837
392	0.3974105959
393	0.3973783907
394	0.3973397681
395	0.3972921606
396	0.3972803981
397	0.397224919
398	0.3972116472
399	0.3971363805
400	0.397098648
401	0.397087075
402	0.3970357103
403	0.3969783549
404	0.3969303213
405	0.3968938476
406	0.396867463
407	0.3968374741
408	0.3968226379
409	0.3967601097
410	0.3967119147
411	0.3966526318
412	0.3966084407
413	0.3965772692
414	0.3965116305
415	0.3964730883
416	0.3964388494
417	0.3964091066
418	0.3962998551
419	0.3962455043
420	0.3961830271
421	0.3961299266
422	0.3960612684
423	0.3960252551
424	0.3960058928
425	0.3959950494
426	0.3959677835
427	0.395942448
428	0.3959016912
429	0.395831541
430	0.3958051749
431	0.3957587603
432	0.3957589576
433	0.3956804186
434	0.3956469493
435	0.3956239678
436	0.3955765173
437	0.3954929565
438	0.395448198
439	0.3953901194
440	0.3953431244
441	0.3952578118
442	0.3952107981
443	0.3951396883
444	0.3951176875
445	0.3950773155
446	0.3950127814
447	0.3949819046
448	0.3949337311
449	0.3948987978
450	0.3948455389
451	0.3947771571
452	0.394746159
453	0.3946891858
454	0.3946534557
455	0.3946243531
456	0.3945862387
457	0.3945299622
458	0.3945059168
459	0.3944523099
460	0.394380714
461	0.3943298234
462	0.3942962275
463	0.394247193
464	0.394226529
465	0.3942191389
466	0.3941734111
467	0.3941284537
468	0.3940678866
469	0.3940345302
470	0.3939710855
471	0.3939446927
472	0.3938706862
473	0.393794108
474	0.393750467
475	0.3936571461
476	0.3936281018
477	0.3935937819
478	0.3935538066
479	0.3935199754
480	0.3934593069
481	0.3933544922
482	0.3933341777
483	0.3932943058
484	0.393236241
485	0.3931887164
486	0.3931427988
487	0.3931229119
488	0.3930904588
489	0.3930374892
490	0.3930078401
491	0.3929447218
492	0.3928939503
493	0.3928615473
494	0.3928122775
495	0.3927731976
496	0.3927250328
497	0.3926817637
498	0.3926423658
499	0.3926163252
500	0.3925670437
501	0.392506089
502	0.3924513776
503	0.3924018868
504	0.3923663037
505	0.3923139357
506	0.3922501596
507	0.3921653112
508	0.3920882247
509	0.3920424947
510	0.3919943137
511	0.3919364085
512	0.3918943133
513	0.3918406188
514	0.3918166679
515	0.391784892
516	0.3916952359
517	0.3916329996
518	0.3915080823
519	0.3914459512
520	0.3913654875
521	0.3912803464
522	0.3912353092
523	0.3911961162
524	0.3911111195
525	0.3910194134
526	0.3909255047
527	0.3908864326
528	0.3908312968
529	0.3907740515
530	0.3907082946
531	0.3906597058
532	0.390589772
533	0.3905401891
534	0.3904832187
535	0.3904211832
536	0.3903858233
537	0.3903133848
538	0.3902523645
539	0.3901985516
540	0.3901519024
541	0.3900516671
542	0.389962637
543	0.3899218781
544	0.3898723583
545	0.3898084514
546	0.3897555735
547	0.3897016137
548	0.389648958
549	0.3896145553
550	0.389556095
551	0.3895051836
552	0.3894658095
553	0.389415563
554	0.3893654318
555	0.3893177267
556	0.3892606197
557	0.3892023237
558	0.389110835
559	0.3890625535
560	0.3890062389
561	0.3889565036
562	0.3889155758
563	0.3888716024
564	0.3888487044
565	0.3887965592
566	0.388745025
567	0.3886935626
568	0.3886388025
569	0.3885882583
570	0.3885145476
571	0.3884882222
572	0.3884175966
573	0.3883510709
574	0.3883290832
575	0.3882736488
576	0.3882099062
577	0.3881504826
578	0.3880825019
579	0.3880607854
580	0.3880175893
581	0.3879661281
582	0.3879030379
583	0.3878774082
584	0.3878075684
585	0.3877563567
586	0.3877188362
587	0.3876699393
588	0.3876343024
589	0.3875971515
590	0.3875379309
591	0.3874868548
592	0.3874116744
593	0.3873773518
594	0.3873318966
595	0.387304284
596	0.3872603993
597	0.3872155208
598	0.3871772926
599	0.3871189559
600	0.3870671964
601	0.3870181609
602	0.3869809313
603	0.3869596458
604	0.3869323387
605	0.3869147639
606	0.386866362
607	0.3868324393
608	0.3867590576
609	0.3866790581
610	0.386609618
611	0.3865787661
612	0.3865621469
613	0.3865304358
614	0.3864834853
615	0.3864268645
616	0.3863471156
617	0.3862729327
618	0.386245199
619	0.3861979718
620	0.3861277371
621	0.3860873669
622	0.3860249484
623	0.3859622258
624	0.3859036829
625	0.3858468468
626	0.3857645664
627	0.3857249633
628	0.3856986547
629	0.3856372796
630	0.385588796
631	0.3855583341
632	0.3855045725
633	0.3854532265
634	0.3853949852
635	0.3853569447
636	0.3853226285
637	0.3852884169
638	0.385241782
639	0.3851690975
640	0.3851151393
641	0.3850527418
642	0.3850082034
643	0.3849391744
644	0.3848772869
645	0.3848582938
646	0.3848117014
647	0.3847533353
648	0.3847008576
649	0.3846447345
650	0.384624827
651	0.3845969312
652	0.384550085
653	0.384520783
654	0.3844618115
655	0.3844416988
656	0.3844011056
657	0.3843097298
658	0.3842640602
659	0.3842372818
660	0.3841990013
661	0.3841561258
662	0.3841251652
663	0.384071192
664	0.3840258565
665	0.3839796931
666	0.383949686
667	0.38391439
668	0.3838599938
669	0.3838225307
670	0.3837994434
671	0.3837372293
672	0.3837112413
673	0.3836716444
674	0.3836232946
675	0.3835846177
676	0.3835140655
677	0.3834012037
678	0.3833804248
679	0.383342159
680	0.3833152091
681	0.3832766546
682	0.3832174628
683	0.3831843457
684	0.3831051464
685	0.3830310513
686	0.3830044865
687	0.3829462353
688	0.3829172427
689	0.3828566546
690	0.3828105412
691	0.3827825291
692	0.3827360369
693	0.3826919379
694	0.3826589627
695	0.382630589
696	0.3825502884
697	0.3824600531
698	0.3824384204
699	0.382348036
700	0.382316807
701	0.3822455136
702	0.382199346
703	0.3821147209
704	0.3820864818
705	0.3820471813
706	0.3819988911
707	0.3819807081
708	0.3819527711
709	0.3818874765
710	0.3818366235
711	0.3817740233
712	0.3817430415
713	0.3817206779
714	0.3816847389
715	0.3816375386
716	0.3815565864
717	0.3814711619
718	0.3814433722
719	0.3814109016
720	0.3813779418
721	0.3813423797
722	0.3813205019
723	0.3812874664
724	0.3812706612
725	0.3812361148
726	0.3811956494
727	0.3811555455
728	0.3811333407
729	0.381104661
730	0.3810651062
731	0.3810484494
732	0.3810178292
733	0.3809641272
734	0.3809127304
735	0.3808580203
736	0.3808321932
737	0.380798218
738	0.3807416109
739	0.3807101486
740	0.3806939489
741	0.3806614399
742	0.380636874
743	0.3805912141
744	0.3805351322
745	0.3805097515
746	0.3804783412
747	0.3804158972
748	0.380336192
749	0.3803057199
750	0.3802826445
751	0.3802526848
752	0.3802117315
753	0.380192949
754	0.3801385006
755	0.3801199785
756	0.3801026606
757	0.3800671811
758	0.3800284599
759	0.3799940846
760	0.3799078094
761	0.3798566677
762	0.3798213009
763	0.3797711719
764	0.3796956967
765	0.3796669216
766	0.3796352124
767	0.3796071218
768	0.3795493411
769	0.3795192457
770	0.3795138627
771	0.3794533925
772	0.3793728654
773	0.3793632756
774	0.3793314027
775	0.3792746052
776	0.3792273729
777	0.3791853701
778	0.3791558407
779	0.3791187429
780	0.3790683656
781	0.3790204156
782	0.3789912263
783	0.3789544126
784	0.3789247249
785	0.3789076248
786	0.3788800237
787	0.3788464335
788	0.3788083148
789	0.3787477676
790	0.3787026821
791	0.3786484866
792	0.3786302909
793	0.3786048931
794	0.3785888816
795	0.3785615699
796	0.3785364643
797	0.3784966246
798	0.3784805152
799	0.3783806592
800	0.3783459138
801	0.3783213109
802	0.3782921126
803	0.3782619838
804	0.3782028427
805	0.3781761081
806	0.3781504824
807	0.3781224613
808	0.3780844556
809	0.3780565934
810	0.3780104891
811	0.378007369
812	0.3779473054
813	0.3778779812
814	0.3778337
815	0.3778087703
816	0.3777602814
817	0.3777079448
818	0.3776806877
819	0.3776431487
820	0.3776153546
821	0.3775788847
822	0.3775511183
823	0.3775060817
824	0.377412926
825	0.3773843336
826	0.3773467429
827	0.3773204018
828	0.3772842654
829	0.3772408242
830	0.3772079771
831	0.3771648642
832	0.3771466288
833	0.377096501
834	0.3770545192
835	0.3770091639
836	0.3769845068
837	0.3769620556
838	0.3769369248
839	0.376851871
840	0.3768193569
841	0.3767966657
842	0.3767754991
843	0.3767609583
844	0.3767000191
845	0.3766676495
846	0.3766343446
847	0.3765478049
848	0.3765020437
849	0.3764763418
850	0.3764554469
851	0.3763969136
852	0.3763741657
853	0.3763361585
854	0.3763136714
855	0.3762724699
856	0.3762222765
857	0.3762039785
858	0.3761901054
859	0.3761629607
860	0.3761093748
861	0.3761017588
862	0.3760795394
863	0.3760638227
864	0.3760330489
865	0.3759635766
866	0.3758829836
867	0.3758625172
868	0.3757819731
869	0.3757738132
870	0.3757473922
871	0.3757134527
872	0.3756787194
873	0.3755964291
874	0.3755731612
